"id","name","sku","barcode","category_id","purchase_price","selling_price","stock","min_stock","unit","created_at"
"89","Sunlight Washing Soap","SKU-MT1TRSKH","6033000294807",,"5.50","8.00","12","5","pcs","""2026-08-20T17:59:29.649Z"""
"90","Dr.X Medicated Soap","SKU-MT1TTX2J","6034000307900",,"2.80","4.50","71","25","pcs","""2026-08-20T18:01:09.112Z"""
"91","Camel Antibacterial soap Aleo Vera","SKU-MT1TWNGV","6154000014391",,"11.66","15.00","6","2","pcs","""2026-08-20T18:03:16.318Z"""
"92","Camel Antibacterial soap Cooling Menthol","SKU-MT1TXNFS","6154000014407",,"11.66","15.00","6","2","pcs","""2026-08-20T18:04:02.935Z"""
"93","Kleesoft 3 in 1 laundry Soap","SKU-MT1U1R3G",,,"5.00","9.00","43","15","pcs","""2026-08-20T18:07:14.298Z"""
"94","Medi Soft Soap","SKU-MT1U4D0P","8992929130215",,"5.66","10.00","12","4","pcs","""2026-08-20T18:09:16.024Z"""
"95","IMPERIAL LEATHER CLASSIC","SKU-MT1U6JY5","5000101964831",,"12.50","17.00","12","4","pcs","""2026-08-20T18:10:58.315Z"""
"96","Yazz Sanitary Pad","SKU-MT1U9IBF","6972981405461",,"14.00","17.00","3","1","pcs","""2026-08-20T18:13:16.169Z"""
"97","Yazz Sanitary Pad Blue","SKU-MT1UAF6H","6971044950009",,"14.00","17.00","4","2","pcs","""2026-08-20T18:13:58.760Z"""
"98","Yazz Sanitary Pink ","SKU-MT1UBNA3","6971044950313",,"14.00","17.00","4","2","pcs","""2026-08-20T18:14:55.913Z"""
"99","Yazz sanitary Pad Purple","SKU-MT1UDMZJ","6971044950337",,"14.00","17.00","4","2","pcs","""2026-08-20T18:16:28.847Z"""
"100","Always Protection","SKU-MT1UGYMG","8700216622967",,"15.00","20.00","3","1","pcs","""2026-08-20T18:19:03.895Z"""
